index  r co          x co          y co          z co          spee          v co          w co          u co          Ener          
0      0.0188        0.0000        -0.0000       0.0040        0.3103        0.2579        -0.1665       -0.0455       -1.1374       
1      0.0163        -0.0000       -0.0000       0.0007        0.5730        -0.1228       -0.5183       0.2113        -0.9054       
2      0.0171        0.0000        0.0000        -0.0074       0.9534        0.6209        0.4903        0.5321        -0.3247       
3      0.0185        -0.0000       0.0000        0.0127        0.2039        0.0131        -0.2034       0.0026        -1.1922       
4      0.0159        -0.0000       -0.0000       -0.0108       0.8236        0.2585        -0.7787       -0.0708       -0.5555       
5      0.0182        0.0000        -0.0000       -0.0010       0.4450        -0.1709       -0.2739       0.3063        -1.0357       
6      0.0082        -0.0000       -0.0000       -0.0074       0.5481        0.0403        0.5261        -0.1482       -0.9334       
7      0.0079        0.0000        -0.0000       0.0041        0.4189        -0.4048       0.1046        0.0261        -1.0583       
8      0.0159        -0.0000       -0.0000       -0.0053       1.1325        -0.7668       -0.5403       -0.6345       0.0488        
9      0.0141        0.0000        0.0000        -0.0053       0.6913        0.4554        -0.4552       -0.2516       -0.7558       
10     0.0122        -0.0000       0.0000        -0.0096       0.9247        0.2388        -0.6633       -0.5983       -0.3788       
11     0.0194        0.0000        -0.0000       0.0039        0.7579        -0.1585       -0.6825       0.2889        -0.6593       
12     0.0105        -0.0000       -0.0000       -0.0080       0.6785        -0.5945       0.2971        0.1368        -0.7734       
13     0.0134        0.0000        0.0000        0.0014        0.2946        0.1466        -0.0333       -0.2533       -1.1470       
14     0.0110        0.0000        0.0000        -0.0089       0.6019        0.5586        0.1581        -0.1591       -0.8715       
15     0.0122        0.0000        0.0000        -0.0021       0.2768        -0.2210       -0.1649       -0.0242       -1.1572       
16     0.0173        -0.0000       -0.0000       -0.0161       1.1934        -0.1033       0.8714        -0.8088       0.1905        
17     0.0085        0.0000        0.0000        0.0073        0.7248        -0.7165       -0.1063       0.0251        -0.7084       
18     0.0074        0.0000        -0.0000       0.0051        0.1136        -0.0337       -0.0961       -0.0503       -1.2209       
